Name,Province,Constituency,Party,Oath Taking Date
Haji Jamal Shah Kakar,Balochistan,NA-263 (Quetta-II),PML (N),2024-02-29
Nawabzada Mir Jamal Khan Raisani,Balochistan,NA-264 (Quetta-III),PPPP,2024-02-29
Moulana Fazl-ur-Rahman,Balochistan,NA-265 (Pishin),JUI (P),2024-02-29
Mr. Mehmood Khan Achakzai,Balochistan,NA-266 (Killa Abdullah-cum-Chaman),PKMAP,2024-02-29
Ms. Shaista Khan,Khyber Pukhtunkhwa,Reserved for Women,PML (N),2024-02-29
Shahida Begum,Khyber Pukhtunkhwa,Reserved for Women,JUI (P),2024-02-29
Ms.  Tahira Aurangzeb,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Shaista Pervaiz,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Muneeba Iqbal,Punjab,Reserved for Women,PML (N),2024-03-01
Ms. Nuzhat Sadiq,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Musarrat Asif Khawaja,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Seema Mohi ud Din Jameeli,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Shaza Fatima Khawaja,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Romina Khurshid Alam,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Wajiha Qamar,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Zeb Jaffar,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Kiran lmran Dar,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Zahra Wadood Fatemi,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Asia Naz Tanoli,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Saba Sadiq,Punjab,Reserved for Women,PML (N),2024-02-29
