Name,Province,Constituency,Party,Oath Taking Date,City,Constituency Type,Country
asad alam niazi,Sindh,NA-237,PPPP,2024-02-29,Karachi East,General,Pakistan
sadiq iftikhar,Sindh,NA-238,MQM,2024-02-29,Karachi East,General,Pakistan
sardar nabil ahmed gabol,Sindh,NA-239,PPPP,2024-02-29,Karachi South,General,Pakistan
arshad abdullah vohra,Sindh,NA-240,MQM,2024-02-29,Karachi South,General,Pakistan
mirza ikhtiar baig,Sindh,NA-241,PPPP,2024-02-29,Karachi South,General,Pakistan
syed mustufa kamal,Sindh,NA-242,MQM,2024-02-29,Karachi Keamari,General,Pakistan
abdul qadir patel,Sindh,NA-243,PPPP,2024-02-29,Karachi Keamari,General,Pakistan
muhammad farooq sattar,Sindh,NA-244,MQM,2024-02-29,Karachi West,General,Pakistan
syed hafeezuddin,Sindh,NA-245,MQM,2024-02-29,Karachi West,General,Pakistan
syed amin ul haque,Sindh,NA-246,MQM,2024-02-29,Karachi West,General,Pakistan
khawaja izhar ul hassan,Sindh,NA-247,MQM,2024-02-29,Karachi Central,General,Pakistan
khalid maqbool siddiqui,Sindh,NA-248,MQM,2024-02-29,Karachi Central,General,Pakistan
ahmed saleem siddiqui,Sindh,NA-249,MQM,2024-02-29,Karachi Central,General,Pakistan
farhan chishti,Sindh,NA-250,MQM,2024-02-29,Karachi Central,General,Pakistan
sayed sami ullah,Balochistan,NA-251,JUI (P),2024-02-29,Sherani,General,Pakistan
sardar muhammad yaqoob khan nasar,Balochistan,NA-252,PML (N),2024-02-29,Musa Khail,General,Pakistan
mian khan bugti,Balochistan,NA-253,PML (N),2024-02-29,Ziarat,General,Pakistan
khalid hussain magsi,Balochistan,NA-254,BAP,2024-02-29,Jhal Magsi,General,Pakistan
mir khan muhammad jamali,Balochistan,NA-255,PML (N),2024-02-29,Shobat Pur,General,Pakistan
muhammad akhtar mengal,Balochistan,NA-256,BNP,2024-02-29,Khuzdar,General,Pakistan
jam kamal khan,Balochistan,NA-257,PML (N),2024-03-03,Hub,General,Pakistan
pullain,Balochistan,NA-258,NP,2024-02-29,Panjgur,General,Pakistan
malik shah,Balochistan,NA-259,PPPP,2024-02-29,Lech,General,Pakistan
mohammad usman badini,Balochistan,NA-260,JUI (P),2024-02-29,Chagai,General,Pakistan
moulana abdul ghafoor haideri,Balochistan,NA-261,JUI (P),2024-02-29,Surab,General,Pakistan
adil khan bazai,Balochistan,NA-262,PML (N),2024-02-29,Quetta,General,Pakistan
haji jamal shah kakar,Balochistan,NA-263,PML (N),2024-02-29,Quetta,General,Pakistan
nawabzada mir jamal khan raisani,Balochistan,NA-264,PPPP,2024-02-29,Quetta,General,Pakistan
moulana fazl ur rahman,Balochistan,NA-265,JUI (P),2024-02-29,Pishin,General,Pakistan
mehmood khan achakzai,Balochistan,NA-266,PKMAP,2024-02-29,Killa Abdullah,General,Pakistan
shaista khan,KPK,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shahida begum,KPK,Reserved Seat,JUI (P),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
tahira aurangzeb,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shaista pervaiz,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
muneeba iqbal,Punjab,Reserved Seat,PML (N),2024-03-01,Reserved Seat,Reserved for Women,Pakistan
nuzhat sadiq,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
musarrat asif khawaja,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
seema mohi ud din jameeli,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shaza fatima khawaja,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
romina khurshid alam,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
wajiha qamar,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
zeb jaffar,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
kiran lmran dar,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
zahra wadood fatemi,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
asia naz tanoli,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
saba sadiq,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
farah naz akbar,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shahnaz saleem malik,Punjab,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
hina rabbani khar,Punjab,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
munaza hassan,Punjab,Reserved Seat,IPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
farakh khan,Punjab,Reserved Seat,PML,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
zainab mehmood baloch,Punjab,Reserved Seat,PML (N),2024-06-07,Reserved Seat,Reserved for Women,Pakistan
sehar kamran,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
sharmila sahiba faruqui hashaam,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shagufta jumani,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shahida rehmani,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
